"ea_id","dist_road","dist_agmrkt","dist_auction","dist_admarc","dist_border","dist_popcenter","dist_boma","ea_lat_mod","ea_lon_mod"
31221753,0,2,85.40000153,5.199999809,73.19999695,2,27.45298958,-15.04969978,35.20101166
20206274,0.5,24.60000038,90.09999847,25.39999962,138.3000031,24.60000038,24.60568619,-13.14887047,34.3321991
30402559,4.099999905,19.5,12.60000038,0.800000012,46.29999924,19.5,7.045507908,-15.80554008,35.17515182
30307545,11.10000038,24.20000076,40.20000076,8.899999619,71.80000305,24.20000076,24.16485405,-15.44684029,35.09495926
20109245,3.900000095,31.89999962,10.60000038,15.80000019,72.09999847,31.89999962,31.92931747,-13.3213501,33.50922012
20603357,31.10000038,38.70000076,38.70000076,1.299999952,76.40000153,38.70000076,38.71046066,-14.30706978,33.63962936
31020708,3,1.700000048,36.70000076,3.5,58.70000076,1.700000048,1.679872274,-16.00931931,34.78438187
30801644,6,5.5,55.5,21.20000076,25.29999924,5.5,5.453213692,-16.08188057,35.49182892
30306541,1.5,14.5,68.80000305,5.599999905,63.09999847,14.5,14.50622463,-15.26455975,35.36880875
30601599,6.900000095,8.699999809,65.69999695,4.599999905,10.5,8.699999809,8.650947571,-15.52517033,34.51931
30901669,20.39999962,10.39999962,53.29999924,6.800000191,33.20000076,10.39999962,10.42344189,-15.83502007,35.55410004
20502331,0.899999976,9.199999809,70.69999695,3.599999905,72.30000305,9.199999809,9.152056694,-13.74633026,34.38151932
30802648,7.900000095,18.5,69.30000305,17.5,10.80000019,18.5,18.50084305,-16.00230026,35.67290115
31105719,1.299999952,12.10000038,114.6999969,2.599999905,35.70000076,12.10000038,12.08104134,-16.81822014,35.29972076
31002694,8.399999619,24.39999962,45.20000076,6.400000095,39.09999847,24.39999962,24.39344597,-16.19754028,34.92779922
20604358,18.60000038,39.59999847,39.59999847,1.100000024,89,39.59999847,39.64839935,-14.19487,33.47795868
30902671,43.09999847,18.20000076,77.30000305,4.300000191,43.40000153,18.20000076,18.21394348,-15.68793011,35.76805115
30705624,12.39999962,16.20000076,31.5,6.400000095,34.20000076,16.20000076,16.22768402,-16.08724976,34.99934006
10312166,0.899999976,25.70000076,25.70000076,8.600000381,119.0999985,7.900000095,7.868237019,-11.58425999,34.22542191
31203739,15.80000019,22.20000076,112.9000015,11.69999981,48.09999847,22.20000076,22.16007042,-14.7888298,35.01548004
30104492,0,38.79999924,137.6999969,1.200000048,65.80000305,19.70000076,38.79301071,-14.21352005,35.02711868
30212526,37.09999847,41.29999924,152.8000031,21.60000038,36.40000153,65.09999847,81.71469879,-14.65536976,35.8396492
20404315,6,19.29999924,50,9.899999619,85,19.29999924,19.2725296,-13.66637039,34.10387039
31007704,16.20000076,20.79999924,43.5,0.300000012,30.60000038,20.79999924,30.51641083,-16.19885063,35.00762939
31301755,24.29999924,25.89999962,70,8.100000381,27.20000076,25.89999962,6.306580067,-15.37654018,34.58106995
31006702,7.699999809,8.899999619,29.89999962,8.899999619,57.59999847,8.899999619,8.902715683,-15.95061016,34.82004929
30102489,13.39999962,29.89999962,127.3000031,4.800000191,54.09999847,29.89999962,29.91361427,-14.65822029,35.05723953
10408185,3.299999952,41.09999847,88,2.099999905,6.800000191,41.09999847,41.09486389,-10.83368969,33.53213882
30601605,17.70000076,18.89999962,59.09999847,12.60000038,22.39999962,18.89999962,18.89431763,-15.7734499,34.50738907
